,gbifID,county,geo_county,FLAG
27678,1849186947,Aiken County,Alachua,FLAG
172,1986959252,Alachua,Baker,FLAG
4097,176890521,Alachua,Columbia,FLAG
168,1986958599,Alachua,Duval,FLAG
32199,1846487942,Alachua,Lake,FLAG
32200,1846487958,Alachua,Lake,FLAG
508,1457789639,Alachua,Marion,FLAG
559,1457802756,Alachua,Marion,FLAG
4801,1258118216,Alachua,Marion,FLAG
5093,1258121773,Alachua,Marion,FLAG
382,1457750421,Alachua,Putnam,FLAG
393,1457754545,Alachua,Putnam,FLAG
469,1457776160,Alachua,Putnam,FLAG
470,1457776580,Alachua,Putnam,FLAG
523,1457793958,Alachua,Putnam,FLAG
543,1457797907,Alachua,Putnam,FLAG
557,1457802639,Alachua,Putnam,FLAG
590,1457808627,Alachua,Putnam,FLAG
613,1457814820,Alachua,Putnam,FLAG
667,1457826023,Alachua,Putnam,FLAG
28003,123003402,Alachua,Putnam,FLAG
840,1927928843,Alachua Co.,Alachua,
986,1928114348,Alachua Co.,Alachua,
1016,1928156976,Alachua Co.,Alachua,
1056,1928212810,Alachua Co.,Alachua,
1071,1928232308,Alachua Co.,Alachua,
6030,1931187370,Alachua Co.,Alachua,
6360,1928517069,Alachua Co.,Alachua,
6362,1928521028,Alachua Co.,Alachua,
6407,1928602267,Alachua Co.,Alachua,
6638,1928916489,Alachua Co.,Alachua,
6662,1928940996,Alachua Co.,Alachua,
6743,1929048865,Alachua Co.,Alachua,
6819,1929930944,Alachua Co.,Alachua,
6852,1929970887,Alachua Co.,Alachua,
7259,1503224675,Alachua Co.,Alachua,
7265,1503224687,Alachua Co.,Alachua,
7279,1503224714,Alachua Co.,Alachua,
8257,1503234298,Alachua Co.,Alachua,
8282,1503234329,Alachua Co.,Alachua,
8284,1503234332,Alachua Co.,Alachua,
8290,1503234340,Alachua Co.,Alachua,
8647,1503235180,Alachua Co.,Alachua,
9075,1503236837,Alachua Co.,Alachua,
9078,1503236883,Alachua Co.,Alachua,
9080,1503236948,Alachua Co.,Alachua,
9205,1503237309,Alachua Co.,Alachua,
9213,1503237320,Alachua Co.,Alachua,
9229,1503237340,Alachua Co.,Alachua,
9237,1503237349,Alachua Co.,Alachua,
9532,1503238399,Alachua Co.,Alachua,
9831,1503238988,Alachua Co.,Alachua,
10027,1503239575,Alachua Co.,Alachua,
10213,1503239934,Alachua Co.,Alachua,
10271,1503240020,Alachua Co.,Alachua,
10307,1503240087,Alachua Co.,Alachua,
10308,1503240088,Alachua Co.,Alachua,
10401,1503240346,Alachua Co.,Alachua,
10431,1503240585,Alachua Co.,Alachua,
10489,1503240920,Alachua Co.,Alachua,
10678,1503241382,Alachua Co.,Alachua,
10753,1503242056,Alachua Co.,Alachua,
11453,1503244373,Alachua Co.,Alachua,
12423,1503246995,Alachua Co.,Alachua,
12549,1503247235,Alachua Co.,Alachua,
12722,1503247573,Alachua Co.,Alachua,
13733,1503251037,Alachua Co.,Alachua,
14282,1503252684,Alachua Co.,Alachua,
15512,1503256303,Alachua Co.,Alachua,
16424,1503258693,Alachua Co.,Alachua,
17750,1503261532,Alachua Co.,Alachua,
17886,1503261760,Alachua Co.,Alachua,
18493,1503262939,Alachua Co.,Alachua,
18502,1503262951,Alachua Co.,Alachua,
18600,1503263091,Alachua Co.,Alachua,
18878,1503264023,Alachua Co.,Alachua,
19115,1503265006,Alachua Co.,Alachua,
19219,1503265502,Alachua Co.,Alachua,
19220,1503265503,Alachua Co.,Alachua,
19221,1503265504,Alachua Co.,Alachua,
19223,1503265508,Alachua Co.,Alachua,
19230,1503265518,Alachua Co.,Alachua,
19239,1503265538,Alachua Co.,Alachua,
19264,1503265608,Alachua Co.,Alachua,
19267,1503265615,Alachua Co.,Alachua,
19269,1503265618,Alachua Co.,Alachua,
19272,1503265625,Alachua Co.,Alachua,
19273,1503265637,Alachua Co.,Alachua,
19276,1503265655,Alachua Co.,Alachua,
19278,1503265658,Alachua Co.,Alachua,
19281,1503265663,Alachua Co.,Alachua,
19283,1503265671,Alachua Co.,Alachua,
19285,1503265674,Alachua Co.,Alachua,
19287,1503265676,Alachua Co.,Alachua,
19289,1503265678,Alachua Co.,Alachua,
19293,1503265683,Alachua Co.,Alachua,
19608,1503266258,Alachua Co.,Alachua,
19619,1503266271,Alachua Co.,Alachua,
19624,1503266278,Alachua Co.,Alachua,
20089,1503267030,Alachua Co.,Alachua,
20106,1503267047,Alachua Co.,Alachua,
20108,1503267049,Alachua Co.,Alachua,
20130,1503267072,Alachua Co.,Alachua,
20134,1503267076,Alachua Co.,Alachua,
20662,1503268047,Alachua Co.,Alachua,
20668,1503268056,Alachua Co.,Alachua,
20669,1503268057,Alachua Co.,Alachua,
20672,1503268060,Alachua Co.,Alachua,
20682,1503268075,Alachua Co.,Alachua,
20683,1503268077,Alachua Co.,Alachua,
20842,1503268331,Alachua Co.,Alachua,
21180,1503268815,Alachua Co.,Alachua,
21185,1503268820,Alachua Co.,Alachua,
21877,1503269829,Alachua Co.,Alachua,
22335,1503270860,Alachua Co.,Alachua,
22341,1503270868,Alachua Co.,Alachua,
22347,1503270875,Alachua Co.,Alachua,
22348,1503270876,Alachua Co.,Alachua,
22351,1503270879,Alachua Co.,Alachua,
22352,1503270880,Alachua Co.,Alachua,
22354,1503270882,Alachua Co.,Alachua,
22438,1503271085,Alachua Co.,Alachua,
22439,1503271091,Alachua Co.,Alachua,
22468,1503271149,Alachua Co.,Alachua,
22479,1503271163,Alachua Co.,Alachua,
22481,1503271165,Alachua Co.,Alachua,
22495,1503271180,Alachua Co.,Alachua,
22503,1503271190,Alachua Co.,Alachua,
22510,1503271199,Alachua Co.,Alachua,
22511,1503271201,Alachua Co.,Alachua,
22513,1503271203,Alachua Co.,Alachua,
22514,1503271205,Alachua Co.,Alachua,
22517,1503271209,Alachua Co.,Alachua,
22519,1503271211,Alachua Co.,Alachua,
22520,1503271212,Alachua Co.,Alachua,
22521,1503271214,Alachua Co.,Alachua,
22530,1503271227,Alachua Co.,Alachua,
22596,1503271317,Alachua Co.,Alachua,
22597,1503271318,Alachua Co.,Alachua,
22966,1503271783,Alachua Co.,Alachua,
22973,1503271791,Alachua Co.,Alachua,
22976,1503271795,Alachua Co.,Alachua,
22980,1503271799,Alachua Co.,Alachua,
22982,1503271802,Alachua Co.,Alachua,
22983,1503271803,Alachua Co.,Alachua,
22984,1503271804,Alachua Co.,Alachua,
22985,1503271805,Alachua Co.,Alachua,
22986,1503271808,Alachua Co.,Alachua,
22987,1503271813,Alachua Co.,Alachua,
22989,1503271817,Alachua Co.,Alachua,
23030,1503271880,Alachua Co.,Alachua,
23032,1503271893,Alachua Co.,Alachua,
24076,1503274567,Alachua Co.,Alachua,
24077,1503274572,Alachua Co.,Alachua,
24092,1503274593,Alachua Co.,Alachua,
24100,1503274604,Alachua Co.,Alachua,
24111,1503274628,Alachua Co.,Alachua,
24152,1503274704,Alachua Co.,Alachua,
24164,1503274720,Alachua Co.,Alachua,
24176,1503274735,Alachua Co.,Alachua,
24192,1503274753,Alachua Co.,Alachua,
24193,1503274754,Alachua Co.,Alachua,
24213,1503274777,Alachua Co.,Alachua,
24236,1503274813,Alachua Co.,Alachua,
24764,1503275703,Alachua Co.,Alachua,
24801,1503275755,Alachua Co.,Alachua,
24921,1503276018,Alachua Co.,Alachua,
25681,1503278080,Alachua Co.,Alachua,
26828,1503285140,Alachua Co.,Alachua,
26836,1503285163,Alachua Co.,Alachua,
27095,1806525086,Alachua Co.,Alachua,
29111,1899345017,Alachua Co.,Alachua,
29112,1899345021,Alachua Co.,Alachua,
29116,1899345034,Alachua Co.,Alachua,
29125,1899345053,Alachua Co.,Alachua,
29128,1899345060,Alachua Co.,Alachua,
29130,1899345064,Alachua Co.,Alachua,
29131,1899345065,Alachua Co.,Alachua,
29133,1899345070,Alachua Co.,Alachua,
29139,1899345082,Alachua Co.,Alachua,
29145,1899345094,Alachua Co.,Alachua,
29147,1899345099,Alachua Co.,Alachua,
29149,1899345102,Alachua Co.,Alachua,
29154,1899345118,Alachua Co.,Alachua,
29156,1899345121,Alachua Co.,Alachua,
29157,1899345122,Alachua Co.,Alachua,
29163,1899345134,Alachua Co.,Alachua,
29165,1899345140,Alachua Co.,Alachua,
29178,1899345172,Alachua Co.,Alachua,
29182,1899345182,Alachua Co.,Alachua,
29186,1899345194,Alachua Co.,Alachua,
29194,1899345232,Alachua Co.,Alachua,
29197,1899345242,Alachua Co.,Alachua,
29207,1899345297,Alachua Co.,Alachua,
29208,1899345321,Alachua Co.,Alachua,
29214,1899345455,Alachua Co.,Alachua,
29666,1841147568,Alachua Co.,Alachua,
29669,1841147580,Alachua Co.,Alachua,
29707,1841147784,Alachua Co.,Alachua,
30700,1304202828,Alachua Co.,Alachua,
30725,1304583792,Alachua Co.,Alachua,
30828,1930139500,Alachua Co.,Alachua,
30864,1930175031,Alachua Co.,Alachua,
31189,1930571188,Alachua Co.,Alachua,
31344,1930761247,Alachua Co.,Alachua,
31437,1930873256,Alachua Co.,Alachua,
31591,1929184226,Alachua Co.,Alachua,
31701,1929313641,Alachua Co.,Alachua,
31806,1929451144,Alachua Co.,Alachua,
31890,1929581011,Alachua Co.,Alachua,
32020,1929744281,Alachua Co.,Alachua,
32074,1929813681,Alachua Co.,Alachua,
32185,1799101318,Alachua Co.,Alachua,
32186,1799101320,Alachua Co.,Alachua,
32231,1838084025,Alachua Co.,Alachua,
32232,1838084029,Alachua Co.,Alachua,
32240,1838084200,Alachua Co.,Alachua,
32247,1838084431,Alachua Co.,Alachua,
18622,1503263126,Alachua Co.,Columbia,
8271,1503234316,Alachua Co.,Levy,FLAG
29136,1899345078,Alachua Co.,Marion,FLAG
29109,1899345013,Alachua Co.,Saint Johns,FLAG
1163,1038924731,Alachua County,Alachua,
1169,1038958114,Alachua County,Alachua,
1186,1038996868,Alachua County,Alachua,
1189,1039004626,Alachua County,Alachua,
1287,415893906,Alachua County,Alachua,
1314,415894957,Alachua County,Alachua,
1327,415896380,Alachua County,Alachua,
2060,415939476,Alachua County,Alachua,
2363,415951756,Alachua County,Alachua,
2655,415957943,Alachua County,Alachua,
2656,415957944,Alachua County,Alachua,
2716,415959885,Alachua County,Alachua,
3097,415972661,Alachua County,Alachua,
3233,415975291,Alachua County,Alachua,
3243,415975831,Alachua County,Alachua,
3246,415975981,Alachua County,Alachua,
3247,415975982,Alachua County,Alachua,
3253,415976093,Alachua County,Alachua,
3256,415976101,Alachua County,Alachua,
3257,415976156,Alachua County,Alachua,
3461,415985976,Alachua County,Alachua,
3965,415993738,Alachua County,Alachua,
3966,415993797,Alachua County,Alachua,
4018,415995886,Alachua County,Alachua,
4024,1315140530,Alachua County,Alachua,
4025,1315140537,Alachua County,Alachua,
5499,699260460,Alachua County,Alachua,
5509,699260825,Alachua County,Alachua,
5628,699266002,Alachua County,Alachua,
5845,699272007,Alachua County,Alachua,
27214,1849093289,Alachua County,Alachua,
27301,1849106797,Alachua County,Alachua,
27305,1849107620,Alachua County,Alachua,
27306,1849108018,Alachua County,Alachua,
27334,1849114483,Alachua County,Alachua,
27371,1849119956,Alachua County,Alachua,
27395,1849126554,Alachua County,Alachua,
27449,1849138347,Alachua County,Alachua,
27483,1849147302,Alachua County,Alachua,
27485,1849147625,Alachua County,Alachua,
27560,1849162324,Alachua County,Alachua,
27591,1849168808,Alachua County,Alachua,
27646,1849180602,Alachua County,Alachua,
27700,1849192142,Alachua County,Alachua,
27790,1977967202,Alachua County,Alachua,
27794,1977967282,Alachua County,Alachua,
27804,1317360855,Alachua County,Alachua,
28848,1212007477,Alachua County,Alachua,
28986,1212009845,Alachua County,Alachua,
30083,768788358,Alachua County,Alachua,
30254,768792984,Alachua County,Alachua,
30419,768795459,Alachua County,Alachua,
32174,1989822497,Alachua County,Alachua,
32175,1989822705,Alachua County,Alachua,
32196,1846486773,Alachua County,Alachua,
32209,1846513891,Alachua County,Alachua,
32211,1846514274,Alachua County,Alachua,
32213,1846514305,Alachua County,Alachua,
32214,1846514313,Alachua County,Alachua,
32218,1846514405,Alachua County,Alachua,
32219,1846514499,Alachua County,Alachua,
32279,606646730,Alachua County,Alachua,
32503,606651779,Alachua County,Alachua,
32508,606651830,Alachua County,Alachua,
32223,1846558731,Alachua County,Marion,FLAG
30718,1304451941,Ascension,Alachua,FLAG
27074,1844418942,Ashe,Collier,FLAG
13,1417786559,BAKER,Baker,
4185,1933395419,Baker Co.,Baker,
6973,1930913350,Baker Co.,Baker,
7150,1931125191,Baker Co.,Baker,
7844,1503230969,Baker Co.,Baker,
7856,1503230985,Baker Co.,Baker,
7911,1503231447,Baker Co.,Baker,
7977,1503231534,Baker Co.,Baker,
8001,1503231564,Baker Co.,Baker,
8030,1503231599,Baker Co.,Baker,
8031,1503231600,Baker Co.,Baker,
8039,1503231612,Baker Co.,Baker,
8222,1503234239,Baker Co.,Baker,
8563,1503235006,Baker Co.,Baker,
8565,1503235010,Baker Co.,Baker,
9295,1503237538,Baker Co.,Baker,
9492,1503237984,Baker Co.,Baker,
9634,1503238717,Baker Co.,Baker,
9675,1503238771,Baker Co.,Baker,
9686,1503238782,Baker Co.,Baker,
