GBIF_ID,CorrectedYear,CorrectedCollector,Notes
415941700,1934,,https://rbg-web2.rbge.org.uk/cgi-bin/nph-readfile.pl/dataset=uconn%7Cspecimens/parent=allspecs/filename=genimag?10578018|retq=ETI%3DCentrosema%2Bvirginianum|firstval=11|lino=4|nocount=|dataonly=|SID=976.1555946366
153278419,FLAG,,http://www.virtualherbarium.org/vh/ShowVoucher.php?accession=91059
122906341,FLAG,,http://www.virtualherbarium.org/vh/pic/95083.jpg
122953925,FLAG,,https://www.gbif.org/occurrence/122953925
122937231,1919,,http://www.virtualherbarium.org/vh/lab/93746.gif
122955139,,J. K. Small,http://www.virtualherbarium.org/vh/pic/94141.jpg
122972522,1943,,http://www.virtualherbarium.org/vh/lab/3501.gif
415957737,1931,,https://rbg-web2.rbge.org.uk/cgi-bin/nph-readfile.pl/dataset=uconn%7Cspecimens/parent=allspecs/filename=genimag?5060643|retq=genus%3DTabernaemontana%2B%26species%3D%26NAME*1%3D%26FILTER_NAME*4%3D%26NAME*2%3D%26FILTER_NAME*1%3D%26NAME*3%3D%26FILTER_NAME*2%3D%26NAME*4%3D%26FILTER_NAME*3%3D%26NAME*5%3D%26COLL_YR%3D%26COLLECTOR%3DW.M.%2BBuswell%2B%26COLL_LOCALITY_AND_HABITAT_NO_LATLONG%3DFort%2BMyers%26associated_taxa_full%3D%26sub_cnt2%3D%26sub_cnt1*2%3D|firstval=1|lino=1|nocount=|dataonly=|SID=1356.1555947847
122936646,1944,,http://www.virtualherbarium.org/vh/lab/3437.gif
122955037,,FLAG,http://www.virtualherbarium.org/vh/pic/89130.jpg
123010341,FLAG,,http://www.virtualherbarium.org/vh/pic/96963.jpg
122982265,,S. S. Tillett,http://www.virtualherbarium.org/vh/pic/95515.jpg
122990292,FLAG,FLAG,http://www.virtualherbarium.org/cgi-bin/show_sid.pl?cat=FTGVH&item=89952.sid
122897530,FLAG,FLAG,www.virtualherbarium.org/cgi-bin/show_sid.pl?cat=FTGVH&item=127998.sid
122910376,1936,,http://www.virtualherbarium.org/vh/pic/89220.jpg
123010221,1933,,http://www.virtualherbarium.org/vh/pic/88832.jpg
1931211150,FLAG,FLAG,
1930540594,1991,,https://www.gbif.org/occurrence/1930540594
1990221994,1960,,https://www.gbif.org/occurrence/1990221994
122989426,FLAG,FLAG,
122916777,1984,,http://www.virtualherbarium.org/vh/pic/53515.jpg
1990253649,1955,,https://www.gbif.org/occurrence/1990253649
1934870634,FLAG,FLAG,
1457815253,1965,,https://www.gbif.org/occurrence/1457815253
1457784641,1959,,https://www.gbif.org/occurrence/1457784641
122954906,1998,,http://www.virtualherbarium.org/vh/lab/84548.gif
123003379,,Ann Beseau,http://www.virtualherbarium.org/vh/lab/90531.gif
123004549,1998,K. A. Bradley & Steven Woodmansee,http://www.virtualherbarium.org/vh/lab/103140.gif
1503234622,1997,,https://www.gbif.org/occurrence/1503234622
